food_id,kfct_code,food_name,category,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,iron_mg,calcium_mg,vitamin_a_rae_ug,folate_ug,zinc_mg,vitamin_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,water_g,ash_g,ash_g.1
127,3031,beans kidney dry water soaked boiled in different water drained without salt,legumes,117.0,7.9,0.8,15.5,8.1,0.9,18,0,5,0.6,0.0,0.09,0.05,0.6,0.0,0.0,30.0,125,115,7.0,66.3,1.4,
128,3032,beans kidney dry water soaked boiled in different water without salt water not discarded,legumes,70.0,4.7,0.5,9.4,4.9,0.6,12,0,3,0.41,0.0,0.06,0.04,0.4,0.0,0.0,19.0,76,94,5.0,79.7,0.9,
129,3033,beans lima dry unsoaked boiled drained without salt,legumes,120.0,8.9,0.7,15.9,7.3,3.4,23,0,7,0.95,0.0,0.14,0.05,0.4,0.0,0.0,54.0,139,434,43.0,65.4,1.8,
130,3034,beans lima dry unsoaked boiled without salt water not discarded,legumes,69.0,5.2,0.4,9.2,4.2,2.3,17,0,3,0.61,0.0,0.1,0.04,0.3,0.0,0.0,37.0,89,334,44.0,79.7,1.1,
131,3035,beans lima dry water soaked boiled in different water drained without salt,legumes,120.0,8.9,0.7,15.9,7.3,3.4,23,0,7,0.95,0.0,0.14,0.05,0.4,0.0,0.0,54.0,139,434,43.0,65.4,1.8,
132,3036,beans lima dry water soaked boiled in different water without salt water not discarded,legumes,69.0,5.2,0.4,9.2,4.2,2.3,17,0,3,0.61,0.0,0.1,0.04,0.3,0.0,0.0,37.0,89,334,44.0,79.7,1.1,
133,3037,bonavist dry unsoaked boiled drained without salt,legumes,122.0,8.9,0.5,17.4,6.3,2.3,21,0,4,0.86,0.0,0.15,0.05,0.7,0.0,0.0,48.0,115,289,7.0,56.8,1.3,
134,3038,bonavist dry unsoaked boiled without salt water not discarded,legumes,77.0,7.4,0.4,14.5,5.2,1.7,21,0,4,0.8,0.0,0.15,0.05,0.7,0.0,0.0,47.0,107,321,9.0,71.3,1.1,
135,3039,bonavist dry water soaked boiled in different water drained without salt,legumes,122.0,8.9,0.5,17.4,6.3,2.3,21,0,4,0.86,0.0,0.15,0.05,0.7,0.0,0.0,48.0,115,289,7.0,56.8,1.3,
136,3040,bonavist dry water soaked boiled in different water without salt water not discarded,legumes,77.0,7.4,0.4,14.5,5.2,1.7,21,0,4,0.8,0.0,0.15,0.05,0.7,0.0,0.0,47.0,107,321,9.0,71.3,1.1,
137,3041,chick peas whole dry unsoaked boiled drained without salt,legumes,143.0,9.9,2.3,15.3,11.2,2.6,90,6,8,1.35,2.0,0.14,0.05,0.6,0.0,0.0,61.0,114,342,10.0,59.9,1.4,
138,3042,chick peas whole unsoaked boiled without salt water not discarded,legumes,102.0,7.1,1.6,10.9,8.0,2.2,76,5,5,1.07,2.0,0.12,0.05,0.5,0.0,0.0,51.0,90,326,10.0,71.4,1.0,
139,3043,chick peas whole dry water soaked boiled in different water drained without salt,legumes,143.0,9.9,2.3,15.3,11.2,2.6,90,6,8,1.35,2.0,0.14,0.05,0.6,0.0,0.0,61.0,114,342,10.0,59.9,1.4,
140,3044,chick peas whole dry water soaked boiled in different water without salt water not discarded,legumes,102.0,7.1,1.6,10.9,8.0,2.2,76,5,5,1.07,2.0,0.12,0.05,0.5,0.0,0.0,51.0,90,326,10.0,71.4,1.0,
141,3045,cowpeas dry unsoaked boiled drained without salt,legumes,117.0,9.5,0.4,16.2,5.4,1.9,37,1,8,1.14,0.0,0.22,0.04,0.6,0.0,0.0,39.0,93,389,8.0,67.1,1.4,
142,3046,cowpeas unsoaked boiled without salt water not discarded,legumes,71.0,5.7,0.3,9.8,3.2,1.4,27,0,6,0.76,0.0,0.16,0.03,0.4,0.0,0.0,47.0,46,231,37.0,80.1,0.8,
143,3047,cowpeas dry water soaked boiled in different water drained without salt,legumes,117.0,9.5,0.4,16.2,5.4,1.9,37,1,8,1.14,0.0,0.22,0.04,0.6,0.0,0.0,39.0,93,389,8.0,67.1,1.4,
144,3048,cowpeas dry water soaked boiled in different water without salt water not discarded,legumes,71.0,5.7,0.3,9.8,3.2,1.4,27,0,6,0.76,0.0,0.16,0.03,0.4,0.0,0.0,47.0,46,231,37.0,80.1,0.8,
145,3049,cowpeas fresh boiled drained without salt,legumes,132.0,4.8,0.6,22.6,8.4,1.4,20,62,14,1.27,3.0,0.1,0.07,1.6,0.0,0.0,45.0,180,361,5.0,61.8,1.8,
146,3050,garden peas fresh boiled drained without salt,legumes,39.0,8.3,0.7,10.4,8.5,2.1,28,29,13,3.67,26.0,0.2,0.09,1.6,0.0,0.0,19.0,102,131,33.0,71.1,1.1,
147,3051,garden peas dry unsoaked boiled drained without salt,legumes,120.0,7.6,0.7,17.7,6.3,1.5,20,2,2,1.07,1.0,0.21,0.05,0.6,0.0,0.0,38.0,107,259,71.0,66.8,1.0,
148,3052,garden peas unsoaked boiled without salt water not discarded,legumes,76.0,4.8,0.4,11.2,4.0,1.1,16,1,1,0.75,1.0,0.17,0.04,0.5,0.0,0.0,28.0,76,220,60.0,78.9,0.6,
149,3053,garden peas dry water soaked boiled in different water drained without salt,legumes,120.0,7.6,0.7,17.7,6.3,1.5,20,2,2,1.07,1.0,0.21,0.05,0.6,0.0,0.0,38.0,107,259,71.0,66.8,1.0,
150,3054,garden peas dry water soaked boiled in different water without salt water not discarded,legumes,76.0,4.8,0.4,11.2,4.0,1.1,16,1,1,0.75,1.0,0.17,0.04,0.5,0.0,0.0,28.0,76,220,60.0,78.9,0.6,
151,3055,gram black dry unsoaked boiled drained without salt,legumes,103.0,8.0,0.6,13.8,5.3,1.6,25,4,6,0.68,1.0,0.07,0.03,0.4,0.0,0.0,32.0,98,175,5.0,71.2,1.2,
152,3056,gram black dry unsoaked boiled without salt water not discarded,legumes,69.0,5.3,0.4,9.2,3.5,1.3,20,3,5,0.51,0.0,0.05,0.02,0.3,0.0,0.0,25.0,73,157,5.0,80.7,0.8,
153,3057,gram black dry water soaked boiled in different water drained without salt,legumes,103.0,8.0,0.6,13.8,5.3,1.6,25,4,6,0.68,1.0,0.07,0.03,0.4,0.0,0.0,32.0,98,175,5.0,71.2,1.2,
154,3058,gram black dry water soaked boiled in different water without salt water not discarded,legumes,69.0,5.3,0.4,9.2,3.5,1.3,20,3,5,0.51,0.0,0.05,0.02,0.3,0.0,0.0,25.0,73,157,5.0,80.7,0.8,
155,3059,gram green dry unsoaked boiled drained without salt,legumes,116.0,10.1,0.6,14.3,6.2,2.4,49,3,13,0.88,0.0,0.13,0.06,0.5,0.0,0.0,66.0,94,276,9.0,67.1,1.7,
156,3060,gram green dry unsoaked boiled without salt water not discarded,legumes,73.0,6.4,0.4,9.0,3.9,1.8,38,2,8,0.62,0.0,0.1,0.05,0.4,0.0,0.0,50.0,66,233,8.0,79.2,1.1,
157,3061,gram green dry water soaked boiled in different water drained without salt,legumes,116.0,10.1,0.6,14.3,6.2,2.4,49,3,13,0.88,0.0,0.13,0.06,0.5,0.0,0.0,66.0,94,276,9.0,67.1,1.7,
158,3062,gram green dry water soaked boiled in different water without salt water not discarded,legumes,73.0,6.4,0.4,9.0,3.9,1.8,38,2,8,0.62,0.0,0.1,0.05,0.4,0.0,0.0,50.0,66,233,8.0,79.2,1.1,
159,3063,lentils whole dry unsoaked boiled drained without salt,legumes,120.0,10.7,0.2,15.6,6.3,2.4,28,0,5,1.22,2.0,0.1,0.05,0.6,0.0,0.0,33.0,104,178,5.0,66.0,1.1,
160,3064,lentils whole unsoaked boiled without salt water not discarded,legumes,75.0,6.7,0.2,9.7,4.0,1.7,21,0,3,0.85,1.0,0.08,0.04,0.5,0.0,0.0,24.0,72,148,5.0,78.8,0.7,
161,3065,lentils whole dry water soaked boiled in different water drained without salt,legumes,120.0,10.7,0.2,15.6,6.3,2.4,28,0,5,1.22,2.0,0.1,0.05,0.6,0.0,0.0,33.0,104,178,5.0,66.0,1.1,
162,3066,lentils whole dry water soaked boiled in different water without salt water not discarded,legumes,75.0,6.7,0.2,9.7,4.0,1.7,21,0,3,0.85,1.0,0.08,0.04,0.5,0.0,0.0,24.0,72,148,5.0,78.8,0.7,
163,3067,pigeon peas dry unsoaked boiled drained without salt,legumes,132.0,9.1,0.9,16.9,9.6,2.0,65,8,7,1.13,0.0,0.2,0.05,0.7,0.0,0.0,48.0,106,391,81.0,61.8,1.7,
164,3068,pigeon peas dry unsoaked boiled without salt water not discarded,legumes,95.0,6.5,0.7,12.1,6.9,1.7,56,6,6,0.91,0.0,0.18,0.04,0.6,0.0,0.0,41.0,85,375,75.0,72.5,1.2,
165,3069,pigeon peas dry water soaked boiled in different water drained without salt,legumes,132.0,9.1,0.9,16.9,9.6,2.0,65,8,7,1.13,0.0,0.2,0.05,0.7,0.0,0.0,48.0,106,391,81.0,61.8,1.7,
166,3070,pigeon peas dry water soaked boiled in different water without salt water not discarded,legumes,95.0,6.5,0.7,12.1,6.9,1.7,56,6,6,0.91,0.0,0.18,0.04,0.6,0.0,0.0,41.0,85,375,75.0,72.5,1.2,
167,3071,soybean dry unsoaked boiled drained without salt,legumes,159.0,14.0,7.9,7.9,2.2,2.5,81,0,7,1.42,0.0,0.19,0.05,0.7,0.0,0.0,72.0,142,533,41.0,64.0,2.2,
168,3072,soybean dry water soaked boiled in different water drained without salt,legumes,159.0,14.0,7.9,7.9,2.2,2.5,81,0,7,1.42,0.0,0.19,0.05,0.7,0.0,0.0,72.0,142,533,41.0,64.0,2.2,
169,4001,amaranth leaves picked raw,vegetables,36.0,3.7,0.2,1.3,7.2,6.8,280,326,64,0.9,77.0,0.03,0.22,0.6,0.0,0.0,103.0,89,597,18.0,84.6,3.1,
170,4002,bitter gourd whole different varieties raw,vegetables,28.0,1.5,0.2,4.2,3.7,1.4,22,11,45,0.3,60.0,0.07,0.04,0.3,0.0,0.0,20.0,51,210,16.0,88.6,0.8,
171,4003,black african nightshade indigenous leaves picked raw,vegetables,31.0,3.8,0.1,1.3,4.3,8.6,100,24,4,0.6,36.0,0.06,0.32,1.1,0.0,0.0,41.0,84,211,0.0,88.6,1.8,
172,4004,broccoli tops and stems raw,vegetables,34.0,3.3,0.3,2.7,3.7,0.8,66,25,48,1.0,103.0,0.1,0.22,0.5,0.0,0.0,21.0,75,336,22.0,89.0,1.0,
173,4005,cabbage leaf head chinese raw,vegetables,10.0,0.9,0.3,1.1,0.4,1.4,36,16,17,0.0,20.0,0.03,0.04,0.4,0.0,0.0,10.0,40,250,16.0,97.0,0.4,
174,4006,cabbage leaf head red raw,vegetables,27.0,1.3,0.2,3.1,3.4,0.7,45,1,55,0.3,69.0,0.09,0.13,0.5,0.0,0.0,29.0,14,241,16.0,91.1,0.9,
175,4007,cabbage leaf head white raw,vegetables,19.0,1.1,0.1,2.2,2.2,0.5,47,0,15,0.2,50.0,0.04,0.04,0.4,0.0,0.0,9.0,40,313,37.0,93.8,0.7,
176,4008,capsicum sweet pepper green raw,vegetables,23.0,1.5,0.1,2.9,2.0,0.5,8,27,8,0.18,115.0,0.03,0.03,0.5,0.0,0.0,10.0,17,151,2.0,93.3,0.2,
177,4009,capsicum sweet pepper red raw,vegetables,26.0,1.7,0.2,3.5,1.8,0.3,4,214,25,0.2,156.0,0.04,0.05,1.0,0.0,0.0,6.0,24,174,2.0,92.4,0.4,
178,4010,capsicum sweet pepper yellow raw,vegetables,21.0,1.4,0.2,2.3,2.2,1.0,19,14,30,0.0,127.0,0.14,0.02,0.5,0.0,0.0,43.0,24,220,0.0,93.4,0.6,
179,4011,carrot peeled raw,vegetables,30.0,0.7,0.2,4.5,3.2,0.6,33,589,18,0.14,5.5,0.04,0.03,0.2,0.0,0.0,17.0,25,251,35.0,90.6,0.6,
180,4012,cauliflower tops and stems raw,vegetables,19.0,2.0,0.2,0.9,2.8,0.8,17,0,44,0.19,70.0,0.06,0.09,0.5,0.0,0.0,11.0,49,292,30.0,93.2,0.9,
181,4013,celery stalk raw,vegetables,27.0,0.6,0.1,5.3,1.4,1.9,70,39,13,0.21,12.0,0.03,0.03,0.4,0.0,0.0,50.0,26,728,67.0,90.9,1.8,
182,4014,courgette green unpeeled raw,vegetables,19.0,0.9,0.3,2.5,1.1,0.3,18,23,17,0.33,24.0,0.03,0.06,0.6,0.0,0.0,16.0,34,188,1.0,94.8,0.4,
183,4015,cowpea leaves picked raw,vegetables,30.0,3.4,0.4,0.7,4.9,2.7,188,36,50,0.0,50.0,0.49,0.37,1.6,0.0,0.0,47.0,174,853,11.0,88.7,1.9,
184,4016,cucumber green unpeeled raw,vegetables,11.0,0.6,0.1,1.3,1.4,0.7,20,0,7,0.18,7.0,0.03,0.02,0.2,0.0,0.0,14.0,20,136,22.0,96.2,0.5,
185,4017,eggplant brinjal different varieties whole edible raw,vegetables,27.0,1.2,0.3,2.8,4.0,0.4,18,12,29,0.21,2.0,0.05,0.05,1.0,0.0,0.0,21.0,35,200,3.0,90.8,0.9,
186,4018,jute mallow picked leaves raw,vegetables,45.0,4.6,0.2,2.1,8.3,6.3,207,217,26,0.58,44.5,0.09,0.34,0.5,0.0,0.0,88.0,282,318,18.0,82.3,2.5,
187,4019,kale ethiopian kanzera leaves raw,vegetables,27.0,3.3,0.6,0.2,4.0,5.7,117,118,73,0.7,134.0,0.06,0.23,0.9,0.0,0.0,45.0,163,970,0.0,90.4,1.6,
188,4020,kale sukuma wiki raw,vegetables,29.0,3.0,0.3,1.2,4.7,22.0,40,177,62,0.5,134.0,0.11,0.13,1.0,0.0,0.0,41.0,167,387,10.0,89.2,1.6,
189,4021,leeks bulb and stem raw,vegetables,54.0,1.7,0.4,9.5,3.1,1.8,78,20,64,0.3,21.0,0.14,0.0,0.6,0.0,0.0,14.0,54,202,17.0,84.5,0.8,
190,4022,lettuce not further defined raw,vegetables,17.0,1.2,0.2,1.9,1.6,1.6,47,107,66,0.26,10.0,0.08,0.05,0.2,0.0,0.0,24.0,55,201,20.0,94.4,0.7,
191,4023,mushroom fresh raw,vegetables,35.0,2.3,0.4,4.5,2.3,0.3,16,0,23,0.17,0.0,0.1,0.4,0.7,0.0,0.0,10.0,105,318,88.0,89.7,0.9,
192,4024,mushroom dried raw,vegetables,283.0,12.3,2.9,32.4,39.1,5.7,24,0,63,0.0,0.0,0.24,0.17,3.7,0.0,0.0,70.0,232,658,0.0,11.9,1.4,
193,4025,mushroom raw canned in brine drained,vegetables,18.0,1.5,0.4,0.2,3.7,0.5,4,4,22,0.0,3.0,0.23,0.05,1.3,0.0,0.0,14.0,24,300,0.0,93.0,1.2,
194,4026,okra fresh raw,vegetables,32.0,2.0,0.2,3.5,3.7,0.8,81,9,88,0.6,21.0,0.1,0.06,1.0,0.0,0.0,57.0,63,380,3.0,90.5,0.7,
195,4027,pumpkin flesh yellow without seeds raw,vegetables,32.0,1.2,0.2,5.2,2.4,0.2,17,126,50,0.21,8.0,0.07,0.06,0.7,0.0,0.0,12.0,31,178,14.0,90.3,0.7,
196,4028,pumpkin leaves raw,vegetables,37.0,4.2,0.7,2.2,2.3,5.6,38,141,93,0.9,12.3,0.07,0.12,1.4,0.0,0.0,14.0,211,942,31.0,87.3,3.2,
197,4029,spider plant leaves raw,vegetables,43.0,4.8,0.8,2.1,4.3,2.6,18,217,34,0.76,64.0,0.1,0.12,1.3,0.0,0.0,49.0,478,781,9.0,85.4,3.0,
198,4030,spinach leaves raw,vegetables,27.0,2.8,0.4,1.1,4.1,1.8,18,189,101,0.0,37.0,0.03,0.18,0.4,0.0,0.0,16.0,110,540,20.0,89.8,1.8,
199,4031,spinach swiss chard leaves raw,vegetables,25.0,3.1,0.2,0.7,3.6,2.0,18,190,121,0.0,24.0,0.03,0.1,0.6,0.0,0.0,34.0,121,574,20.0,90.3,2.0,
200,4032,squash butternut peeled flesh raw,vegetables,43.0,1.5,0.1,7.8,2.5,0.2,17,160,31,0.21,8.0,0.07,0.06,1.0,0.0,0.0,12.0,31,178,14.0,87.3,0.8,
201,4033,stinging nettle leaves raw,vegetables,80.0,5.4,0.7,6.7,2.1,4.0,18,23,45,0.0,70.0,0.04,0.14,1.4,0.0,0.0,21.0,100,570,5.0,80.0,4.9,
202,4034,sweet potato leaves,vegetables,36.0,4.3,0.5,0.8,5.3,1.4,19,189,110,0.0,11.0,0.1,0.35,1.1,0.0,0.0,21.0,126,387,20.0,87.6,1.4,
203,4035,tomato green raw,vegetables,23.0,1.1,0.2,3.3,1.6,0.6,15,3,9,0.2,90.0,0.08,0.1,0.5,0.0,0.0,10.0,30,200,10.0,93.2,0.6,
204,4036,tomato red ripe raw,vegetables,22.0,1.0,0.2,3.3,1.4,0.4,15,26,25,0.18,25.0,0.04,0.04,0.5,0.0,0.0,10.0,20,210,5.0,93.6,0.5,
205,4037,tomato canned whole contents,vegetables,20.0,1.0,0.1,3.1,1.3,0.6,22,2,14,0.16,0.0,0.05,0.05,0.7,0.0,0.0,11.0,20,204,68.0,94.0,0.5,
206,4038,vine african spinach picked leaves raw,vegetables,28.0,3.4,0.7,0.2,3.7,10.9,267,16,44,0.5,0.0,0.2,0.2,0.8,0.0,0.0,56.0,446,468,0.0,90.4,1.6,
207,4039,amaranth leaves picked boiled drained without salt,vegetables,38.0,3.9,0.3,1.3,7.6,5.3,280,30,53,0.73,33.0,0.02,0.15,0.5,0.0,0.0,77.0,84,314,14.0,83.8,3.2,
208,4040,amaranth leaves picked stewed without salt,vegetables,45.0,4.6,0.3,1.5,8.9,8.3,346,36,85,1.2,57.0,0.03,0.26,0.8,0.0,0.0,111.0,107,372,22.0,81.4,3.8,
209,4041,bitter gourd whole different varieties boiled drained without salt,vegetables,36.0,1.7,0.3,4.6,4.1,1.2,23,11,25,0.31,43.0,0.05,0.03,0.2,0.0,0.0,13.0,51,171,14.0,88.4,0.9,
210,4042,black african nightshade indigenous leaves picked boiled drained without salt,vegetables,29.0,3.6,0.1,1.3,4.1,6.2,91,23,19,0.46,14.0,0.04,0.2,0.7,0.0,0.0,24.0,58,200,7.0,89.1,1.7,
211,4043,broccoli tops and stems boiled drained without salt,vegetables,31.0,3.2,0.3,2.4,3.3,0.6,56,20,13,0.41,60.0,0.06,0.13,0.3,0.0,0.0,11.0,61,151,15.0,90.1,0.9,
212,4044,broccoli tops and stems steamed without salt,vegetables,33.0,3.2,0.3,2.6,3.6,0.6,60,22,19,0.52,74.0,0.08,0.19,0.4,0.0,0.0,18.0,69,275,18.0,89.4,1.0,
213,4045,cabbage leaf head chinese boiled drained without salt,vegetables,10.0,0.9,0.3,1.1,0.4,1.1,35,15,8,0.15,8.0,0.02,0.03,0.3,0.0,0.0,6.0,37,128,12.0,96.9,0.4,
214,4046,cabbage leaf head chinese steamed without salt,vegetables,10.0,0.9,0.3,1.1,0.4,1.2,35,15,10,0.18,11.0,0.02,0.04,0.3,0.0,0.0,9.0,39,217,14.0,96.9,0.4,
215,4047,cabbage leaf head red boiled drained without salt,vegetables,27.0,1.3,0.2,3.2,3.5,0.5,44,1,9,0.23,28.0,0.06,0.09,0.3,0.0,0.0,18.0,13,123,12.0,90.9,0.9,
216,4048,cabbage leaf head red stewed without salt,vegetables,24.0,1.2,0.2,2.9,3.1,0.7,42,1,11,0.28,38.0,0.08,0.11,0.4,0.0,0.0,27.0,13,223,15.0,91.7,0.8,
217,4049,cabbage leaf head white boiled drained without salt,vegetables,19.0,1.1,0.1,2.2,2.3,0.4,45,0,8,0.18,20.0,0.03,0.03,0.3,0.0,0.0,6.0,36,159,29.0,93.6,0.7,
218,4050,cabbage leaf head white stewed without salt,vegetables,20.0,1.2,0.1,2.4,2.4,0.5,50,0,11,0.25,32.0,0.04,0.04,0.4,0.0,0.0,10.0,43,336,40.0,93.3,0.7,
219,4051,capsicum sweet pepper green boiled drained without salt,vegetables,26.0,1.7,0.1,3.3,2.3,0.5,9,28,5,0.16,86.0,0.02,0.02,0.4,0.0,0.0,7.0,18,87,2.0,92.3,0.2,
220,4052,capsicum sweet pepper green grilled without salt and fat,vegetables,24.0,1.6,0.1,3.1,2.2,0.6,9,26,9,0.19,99.0,0.03,0.03,0.5,0.0,0.0,11.0,18,162,2.0,92.8,0.2,
221,4053,capsicum sweet pepper green baked without salt,vegetables,23.0,1.6,0.1,3.2,2.1,0.6,8,26,10,0.19,96.0,0.03,0.03,0.5,0.0,0.0,10.0,18,157,2.0,93.1,0.2,
222,4054,capsicum sweet pepper red boiled drained without salt,vegetables,30.0,1.3,0.2,4.0,2.1,0.3,4,21,3,0.17,117.0,0.03,0.04,0.7,0.0,0.0,5.0,10,200,2.0,91.3,0.5,
223,4055,capsicum sweet pepper red grilled without salt and fat,vegetables,28.0,1.8,0.2,3.8,1.9,0.3,4,20,5,0.22,134.0,0.04,0.05,1.0,0.0,0.0,6.0,26,187,2.0,91.8,0.4,
224,4056,capsicum sweet pepper red baked without salt,vegetables,27.0,1.8,0.2,3.6,1.9,0.3,4,19,5,0.21,130.0,0.04,0.05,1.0,0.0,0.0,6.0,25,181,2.0,92.1,0.4,
225,4057,capsicum sweet pepper yellow boiled drained without salt,vegetables,24.0,1.6,0.2,2.6,2.5,0.6,21,14,4,0.22,95.0,0.1,0.01,0.4,0.0,0.0,12.0,45,139,1.0,92.4,0.7,
226,4058,capsicum sweet pepper yellow grilled without salt and fat,vegetables,22.0,1.5,0.2,2.4,2.4,0.7,21,13,6,0.28,109.0,0.14,0.02,0.6,0.0,0.0,19.0,47,260,2.0,92.9,0.7,
227,4059,capsicum sweet pepper yellow baked without salt,vegetables,22.0,1.4,0.2,2.4,2.3,0.7,20,13,6,0.27,106.0,0.13,0.02,0.6,0.0,0.0,18.0,45,252,2.0,93.1,0.6,
228,4060,carrot peeled boiled drained without salt,vegetables,32.0,0.8,0.3,4.8,3.4,0.5,34,56,10,0.11,2.0,0.03,0.02,0.2,0.0,0.0,11.0,24,120,21.0,90.0,0.7,
229,4061,carrot peeled stewed without salt,vegetables,31.0,0.8,0.2,4.7,3.4,0.6,35,55,13,0.14,5.0,0.04,0.03,0.2,0.0,0.0,17.0,26,261,37.0,90.2,0.7,
230,4062,cauliflower tops and stems boiled drained without salt,vegetables,19.0,2.0,0.2,0.9,2.8,0.6,16,0,22,0.19,46.0,0.04,0.06,0.3,0.0,0.0,6.0,41,146,23.0,93.2,0.9,
231,4063,celery stalk boiled drained without salt,vegetables,27.0,0.6,0.1,5.3,1.4,1.9,70,39,13,0.21,12.0,0.03,0.03,0.4,0.0,0.0,50.0,26,728,67.0,90.9,1.8,
232,4064,courgette green unpeeled boiled drained without salt,vegetables,21.0,1.0,0.3,2.8,1.2,0.4,19,1,9,0.28,9.0,0.02,0.04,0.4,0.0,0.0,11.0,34,104,1.0,94.2,0.4,
233,4065,cowpea leaves picked boiled drained without salt,vegetables,28.0,3.2,0.4,0.6,4.7,1.9,170,0,45,0.53,19.0,0.3,0.23,1.0,0.0,0.0,27.0,152,312,20.0,89.2,1.8,
234,4066,cowpea leaves picked steamed without salt,vegetables,26.0,2.9,0.4,0.6,4.3,1.9,155,0,49,0.58,24.0,0.34,0.29,1.1,0.0,0.0,37.0,143,582,30.0,90.2,1.7,
235,4067,eggplant brinjal different varieties whole edible boiled drained without salt,vegetables,29.0,1.3,0.3,3.0,4.3,0.3,19,12,16,0.17,1.0,0.03,0.03,0.4,0.0,0.0,14.0,34,108,2.0,90.1,1.0,
236,4068,eggplant brinjal different varieties whole edible stewed without salt,vegetables,38.0,1.5,0.4,3.4,5.0,0.5,23,14,25,0.26,2.0,0.06,0.06,0.6,0.0,0.0,26.0,44,250,4.0,88.5,1.2,
237,4069,jute mallow picked leaves boiled drained without salt,vegetables,47.0,4.9,0.2,2.2,8.7,5.0,207,20,16,0.46,18.0,0.06,0.23,0.4,0.0,0.0,84.0,149,149,14.0,81.4,2.6,
238,4070,jute mallow picked leaves stewed without salt,vegetables,56.0,5.7,0.2,2.6,10.2,7.8,255,24,11,0.72,32.0,0.1,0.4,0.6,0.0,0.0,109.0,349,349,23.0,78.2,3.1,
239,4071,kale ethiopian kanzera leaves boiled drained without salt,vegetables,26.0,3.1,0.6,0.2,3.8,3.1,105,10,35,0.48,51.0,0.04,0.14,0.6,0.0,0.0,43.0,304,450,4.0,90.8,1.5,
240,4072,kale ethiopian kanzera leaves steamed without salt,vegetables,24.0,2.8,0.5,0.2,3.5,3.9,96,9,38,0.52,64.0,0.04,0.18,0.6,0.0,0.0,42.0,425,470,5.0,91.6,1.4,
241,4073,kale sukuma wiki boiled drained without salt,vegetables,28.0,2.9,0.3,1.2,4.4,2.0,36,15,30,0.34,51.0,0.07,0.08,0.6,0.0,0.0,35.0,71,135,10.0,89.7,1.5,
